29 -82
26 -87
15 -69
-3 -70
-3 -71
-6 -83
-7 -97
-11 -86
-22 -82
-36 -79
-62 -68
-63 -74
-61 -89
-65 -89
-68 -97
-70 -94
-87 -73
-73 -53
-84 -41
-97 -43
-86 -26
-78 -29
-66 -29
-70 -40
-46 -49
-47 -54
-42 -60
-25 -59
-5 -54
-16 -40
-25 -28
-17 -19
-37 -2
-40 3
-46 -4
-44 -16
-47 -17
-51 -9
-59 4
-49 13
-51 22
-52 23
-56 32
-60 24
-63 22
-72 24
-72 51
-72 53
-97 50
-89 62
-85 69
-97 81
-99 93
-85 81
-70 72
-62 74
-72 95
-49 97
-28 76
-25 56
-33 44
-32 41
-28 41
-37 26
-30 22
-21 29
-15 28
-4 26
-9 4
14 2
2 -9
0 -22
3 -25
6 -22
14 -37
19 -21
18 -10
29 -14
37 -9
49 -3
51 -2
51 1
44 13
34 18
30 28
12 43
-7 57
-9 65
-11 74
-20 89
-15 88
9 81
13 98
35 85
42 83
60 94
68 93
92 94
88 85
84 80
86 71
84 71
79 49
74 47
64 74
56 73
34 61
25 63
33 51
35 36
57 38
58 36
55 27
57 14
61 15
68 19
89 37
93 35
97 25
82 17
74 7
67 -15
73 -16
75 -16
82 -23
96 -11
96 -15
98 -36
100 -38
87 -50
89 -53
86 -78
75 -70
69 -64
60 -75
58 -83
47 -92
40 -99
38 -85
38 -82
38 -80
42 -66
51 -51
70 -47
44 -29
40 -30
41 -49
38 -52
35 -55
29 -73
29 -82
